"hazard_classf","year","n_apprvd"
"I - Produto altamente perigoso ao meio ambiente",2000,0
"I - Produto altamente perigoso ao meio ambiente",2001,2
"I - Produto altamente perigoso ao meio ambiente",2002,1
"I - Produto altamente perigoso ao meio ambiente",2003,2
"I - Produto altamente perigoso ao meio ambiente",2004,0
"I - Produto altamente perigoso ao meio ambiente",2005,1
"I - Produto altamente perigoso ao meio ambiente",2006,3
"I - Produto altamente perigoso ao meio ambiente",2007,3
"I - Produto altamente perigoso ao meio ambiente",2008,4
"I - Produto altamente perigoso ao meio ambiente",2009,2
"I - Produto altamente perigoso ao meio ambiente",2010,9
"I - Produto altamente perigoso ao meio ambiente",2011,6
"I - Produto altamente perigoso ao meio ambiente",2012,3
"I - Produto altamente perigoso ao meio ambiente",2013,6
"I - Produto altamente perigoso ao meio ambiente",2014,3
"I - Produto altamente perigoso ao meio ambiente",2015,5
"I - Produto altamente perigoso ao meio ambiente",2016,14
"I - Produto altamente perigoso ao meio ambiente",2017,13
"I - Produto altamente perigoso ao meio ambiente",2018,6
"I - Produto altamente perigoso ao meio ambiente",2019,14
"I - Produto altamente perigoso ao meio ambiente",2020,16
"I - Produto altamente perigoso ao meio ambiente",2021,4
"II - Produto muito perigoso ao meio ambiente",2000,33
"II - Produto muito perigoso ao meio ambiente",2001,48
"II - Produto muito perigoso ao meio ambiente",2002,21
"II - Produto muito perigoso ao meio ambiente",2003,19
"II - Produto muito perigoso ao meio ambiente",2004,33
"II - Produto muito perigoso ao meio ambiente",2005,28
"II - Produto muito perigoso ao meio ambiente",2006,49
"II - Produto muito perigoso ao meio ambiente",2007,83
"II - Produto muito perigoso ao meio ambiente",2008,95
"II - Produto muito perigoso ao meio ambiente",2009,79
"II - Produto muito perigoso ao meio ambiente",2010,41
"II - Produto muito perigoso ao meio ambiente",2011,67
"II - Produto muito perigoso ao meio ambiente",2012,89
"II - Produto muito perigoso ao meio ambiente",2013,51
"II - Produto muito perigoso ao meio ambiente",2014,65
"II - Produto muito perigoso ao meio ambiente",2015,52
"II - Produto muito perigoso ao meio ambiente",2016,122
"II - Produto muito perigoso ao meio ambiente",2017,202
"II - Produto muito perigoso ao meio ambiente",2018,228
"II - Produto muito perigoso ao meio ambiente",2019,233
"II - Produto muito perigoso ao meio ambiente",2020,235
"II - Produto muito perigoso ao meio ambiente",2021,273
"III - Produto perigoso ao meio ambiente",2000,41
"III - Produto perigoso ao meio ambiente",2001,51
"III - Produto perigoso ao meio ambiente",2002,25
"III - Produto perigoso ao meio ambiente",2003,49
"III - Produto perigoso ao meio ambiente",2004,41
"III - Produto perigoso ao meio ambiente",2005,48
"III - Produto perigoso ao meio ambiente",2006,45
"III - Produto perigoso ao meio ambiente",2007,100
"III - Produto perigoso ao meio ambiente",2008,81
"III - Produto perigoso ao meio ambiente",2009,49
"III - Produto perigoso ao meio ambiente",2010,50
"III - Produto perigoso ao meio ambiente",2011,56
"III - Produto perigoso ao meio ambiente",2012,59
"III - Produto perigoso ao meio ambiente",2013,41
"III - Produto perigoso ao meio ambiente",2014,70
"III - Produto perigoso ao meio ambiente",2015,50
"III - Produto perigoso ao meio ambiente",2016,102
"III - Produto perigoso ao meio ambiente",2017,141
"III - Produto perigoso ao meio ambiente",2018,163
"III - Produto perigoso ao meio ambiente",2019,183
"III - Produto perigoso ao meio ambiente",2020,143
"III - Produto perigoso ao meio ambiente",2021,190
"IV - Produto pouco perigoso ao meio ambiente",2000,8
"IV - Produto pouco perigoso ao meio ambiente",2001,14
"IV - Produto pouco perigoso ao meio ambiente",2002,6
"IV - Produto pouco perigoso ao meio ambiente",2003,7
"IV - Produto pouco perigoso ao meio ambiente",2004,10
"IV - Produto pouco perigoso ao meio ambiente",2005,12
"IV - Produto pouco perigoso ao meio ambiente",2006,12
"IV - Produto pouco perigoso ao meio ambiente",2007,16
"IV - Produto pouco perigoso ao meio ambiente",2008,11
"IV - Produto pouco perigoso ao meio ambiente",2009,7
"IV - Produto pouco perigoso ao meio ambiente",2010,4
"IV - Produto pouco perigoso ao meio ambiente",2011,17
"IV - Produto pouco perigoso ao meio ambiente",2012,17
"IV - Produto pouco perigoso ao meio ambiente",2013,12
"IV - Produto pouco perigoso ao meio ambiente",2014,10
"IV - Produto pouco perigoso ao meio ambiente",2015,32
"IV - Produto pouco perigoso ao meio ambiente",2016,39
"IV - Produto pouco perigoso ao meio ambiente",2017,48
"IV - Produto pouco perigoso ao meio ambiente",2018,52
"IV - Produto pouco perigoso ao meio ambiente",2019,45
"IV - Produto pouco perigoso ao meio ambiente",2020,99
"IV - Produto pouco perigoso ao meio ambiente",2021,95
"Total",2000,82
"Total",2001,115
"Total",2002,53
"Total",2003,77
"Total",2004,84
"Total",2005,89
"Total",2006,109
"Total",2007,202
"Total",2008,191
"Total",2009,137
"Total",2010,104
"Total",2011,146
"Total",2012,168
"Total",2013,110
"Total",2014,148
"Total",2015,139
"Total",2016,277
"Total",2017,404
"Total",2018,449
"Total",2019,475
"Total",2020,493
"Total",2021,562
