estate,year,value,honey
Brasil,1974,32221,4129244
Brasil,1975,71455,5492289
Brasil,1976,113084,5902086
Brasil,1977,114181,5333668
Brasil,1978,152263,6419895
Brasil,1979,251287,7283057
Brasil,1980,471550,6202119
Brasil,1981,1075890,6300497
Brasil,1982,2392366,6057204
Brasil,1983,10686529,6872576
Brasil,1984,36945725,10634896
Brasil,1985,125312,12570393
Brasil,1986,315350,14812192
Brasil,1987,971087,14063296
Brasil,1988,9360960,15452950
Brasil,1989,220981,16019142
Brasil,1990,2834351,16181289
Brasil,1991,14653720,18667767
Brasil,1992,157862029,18841386
Brasil,1993,4521571,18367172
Brasil,1994,34121,17514366
Brasil,1995,54963,18122819
Brasil,1996,66760,21172870
Brasil,1997,64410,19061722
Brasil,1998,65758,18308489
Brasil,1999,81657,19751097
Brasil,2000,84640,21865144
Brasil,2001,85922,22219675
Brasil,2002,108325,24028652
Brasil,2003,161674,30022404
Brasil,2004,173043,32336462
Brasil,2005,169749,33791166
Brasil,2006,187972,36263606
Brasil,2007,182603,34789966
Brasil,2008,199235,37836434
Brasil,2009,221269,39029631
Brasil,2010,232877,38072673
Brasil,2011,248953,41792775
Brasil,2012,240388,33931503
Brasil,2013,263195,35364528
Brasil,2014,315013,38481416
Brasil,2015,359166,37859193
Brasil,2016,471954,39677393
Brasil,2017,514256,41695747
Brasil,2018,501959,42268297
Brasil,2019,495247,46088931
Brasil,2020,633686,52491135
Brasil,2021,854416,55828154
Rondônia,1974,0,0
Rondônia,1975,0,0
Rondônia,1976,0,0
Rondônia,1977,0,0
Rondônia,1978,0,0
Rondônia,1979,0,0
Rondônia,1980,157,1960
Rondônia,1981,240,2000
Rondônia,1982,4200,4000
Rondônia,1983,6745,3450
Rondônia,1984,97264,8508
Rondônia,1985,109,6988
Rondônia,1986,1130,12950
Rondônia,1987,5485,27261
Rondônia,1988,60250,42684
Rondônia,1989,700,40993
Rondônia,1990,13771,43770
Rondônia,1991,152372,89562
Rondônia,1992,2267421,113207
Rondônia,1993,60717,198003
Rondônia,1994,932,194693
Rondônia,1995,1093,189544
Rondônia,1996,460,79709
Rondônia,1997,626,81126
Rondônia,1998,604,84390
Rondônia,1999,756,104384
Rondônia,2000,1397,164619
Rondônia,2001,1430,174865
Rondônia,2002,1250,192352
Rondônia,2003,1357,194057
Rondônia,2004,898,102315
Rondônia,2005,1006,110744
Rondônia,2006,1200,129650
Rondônia,2007,1457,154758
Rondônia,2008,1638,160600
Rondônia,2009,1788,168403
Rondônia,2010,1973,171990
Rondônia,2011,2262,184770
Rondônia,2012,2349,175673
Rondônia,2013,2227,163158
Rondônia,2014,3287,192163
Rondônia,2015,1791,96787
Rondônia,2016,1876,89981
Rondônia,2017,1966,81147
Rondônia,2018,1946,81305
Rondônia,2019,2170,98024
Rondônia,2020,2192,98262
Rondônia,2021,3178,93614
Acre,1974,14,463
Acre,1975,7,485
Acre,1976,13,505
Acre,1977,16,530
Acre,1978,24,500
Acre,1979,0,0
Acre,1980,0,0
Acre,1981,0,0
Acre,1982,0,0
Acre,1983,0,0
