"location","class","purchase_ton","year"
"NORTE","CLASSE I","35.699004240000001",2009
"NORTE","CLASSE II","899.6200824",2009
"NORTE","CLASSE III","2862.1027026000002",2009
"NORTE","CLASSE IV","572.08502927999996",2009
"AC","CLASSE I","0.00027999999999999998",2009
"AC","CLASSE II","14.0253868",2009
"AC","CLASSE III","88.974958299999997",2009
"AC","CLASSE IV","2.9746769999999998",2009
"AM","CLASSE I","0.095200000000000007",2009
"AM","CLASSE II","4.6613775999999998",2009
"AM","CLASSE III","11.5581698",2009
"AM","CLASSE IV","28.878941999999999",2009
"AP","CLASSE I","0",2009
"AP","CLASSE II","0",2009
"AP","CLASSE III","57.833492999999997",2009
"AP","CLASSE IV","4.9922820000000003",2009
"PA","CLASSE I","10.864305999999999",2009
"PA","CLASSE II","264.59628780000003",2009
"PA","CLASSE III","734.46377150000001",2009
"PA","CLASSE IV","96.404433179999998",2009
"RO","CLASSE I","13.13853995",2009
"RO","CLASSE II","285.65079359999999",2009
"RO","CLASSE III","1149.619533",2009
"RO","CLASSE IV","223.4329736",2009
"RR","CLASSE I","0.10885",2009
"RR","CLASSE II","40.898519",2009
"RR","CLASSE III","29.733799999999999",2009
"RR","CLASSE IV","4.5123655999999999",2009
"TO","CLASSE I","11.491828290000001",2009
"TO","CLASSE II","289.78771760000001",2009
"TO","CLASSE III","789.91897700000004",2009
"TO","CLASSE IV","210.8893559",2009
"NORDESTE","CLASSE I","410.162828741",2009
"NORDESTE","CLASSE II","5509.70755577",2009
"NORDESTE","CLASSE III","10686.641581439999",2009
"NORDESTE","CLASSE IV","2215.9837970499998",2009
"MA","CLASSE I","94.948967789999998",2009
"MA","CLASSE II","611.42855510000004",2009
"MA","CLASSE III","2270.186158",2009
"MA","CLASSE IV","329.56130739999998",2009
"PI","CLASSE I","16.68279545",2009
"PI","CLASSE II","309.57384139999999",2009
"PI","CLASSE III","1041.6474020000001",2009
"PI","CLASSE IV","151.18260559999999",2009
"CE","CLASSE I","3.933773",2009
"CE","CLASSE II","11.342459590000001",2009
"CE","CLASSE III","-578.72025980000001",2009
"CE","CLASSE IV","75.067788890000003",2009
"RN","CLASSE I","3.0626800699999999",2009
"RN","CLASSE II","98.055862039999994",2009
"RN","CLASSE III","60.35503928",2009
"RN","CLASSE IV","46.751826199999996",2009
"PB","CLASSE I","0.79580600700000004",2009
"PB","CLASSE II","121.2590878",2009
"PB","CLASSE III","67.998325159999993",2009
"PB","CLASSE IV","22.187558660000001",2009
"PE","CLASSE I","17.551379480000001",2009
"PE","CLASSE II","482.12070460000001",2009
"PE","CLASSE III","864.64491910000004",2009
"PE","CLASSE IV","94.301778100000007",2009
"AL","CLASSE I","7.3722991440000003",2009
"AL","CLASSE II","307.04514749999998",2009
"AL","CLASSE III","372.77819260000001",2009
"AL","CLASSE IV","6.9677011999999996",2009
"SE","CLASSE I","0.40604299999999999",2009
"SE","CLASSE II","26.32982574",2009
"SE","CLASSE III","166.9123251",2009
"SE","CLASSE IV","21.743055999999999",2009
"BA","CLASSE I","265.40908480000002",2009
"BA","CLASSE II","3542.552072",2009
"BA","CLASSE III","6420.8394799999996",2009
"BA","CLASSE IV","1468.2201749999999",2009
"SUDESTE","CLASSE I","1755.1909210600002",2009
"SUDESTE","CLASSE II","16571.565081300003",2009
"SUDESTE","CLASSE III","36608.186398000005",2009
"SUDESTE","CLASSE IV","16850.735975809999",2009
"ES","CLASSE I","18.62228756",2009
"ES","CLASSE II","292.52579429999997",2009
"ES","CLASSE III","1184.2271559999999",2009
"ES","CLASSE IV","104.0386025",2009
"MG","CLASSE I","385.01287350000001",2009
"MG","CLASSE II","4575.7278100000003",2009
"MG","CLASSE III","8855.1679829999994",2009
"MG","CLASSE IV","2240.5839919999999",2009
"RJ","CLASSE I","8.2822270000000007",2009
"RJ","CLASSE II","146.142797",2009
"RJ","CLASSE III","2188.187019",2009
"RJ","CLASSE IV","42.706801310000003",2009
"SP","CLASSE I","1343.273533",2009
"SP","CLASSE II","11557.168680000001",2009
"SP","CLASSE III","24380.604240000001",2009
"SP","CLASSE IV","14463.406580000001",2009
"SUL","CLASSE I","774.28869424000004",2009
